project,operator,measured_date,start_time,battery_index,battery_serial,cells_measured,min_cell_v,max_cell_v,mean_cell_v,cell_imbalance_v,pack_voltage_sum_v
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,4,4ERPLCRDA0E3WT,4,4.32,4.32,4.32,0.0,17.28
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,3,4ERPLCRDA0E3Z5,4,4.28,4.28,4.28,0.0,17.12
Akwaaba,Martin Mawusi,2025-08-22,2025-08-30 18:06:31.615000+00:00,5,4ERPLCREA2DJEM,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,7,4ERKL696G30ZK5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,6,4ERPLCQEA2DGWX,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,2,4ERPLCQEA2DH08,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,1,4ERPLCQEA2DHC1,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,4,4ERPLCRDA0E3WT,4,4.34,4.34,4.34,0.0,17.36
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,3,4ERPLCRDA0E3Z5,4,4.25,4.26,4.2575,0.009999999999999787,17.03
Akwaaba,Martin Mawusi,2025-09-19,2025-09-19 08:32:35.642000+00:00,5,4ERPLCREA2DJEM,4,4.11,4.11,4.11,0.0,16.44
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,7,4ERKL696G30ZK5,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,6,4ERPLCQEA2DGWX,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,2,4ERPLCQEA2DH08,4,4.26,4.26,4.26,0.0,17.04
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,1,4ERPLCQEA2DHC1,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,4,4ERPLCRDA0E3WT,4,4.33,4.33,4.33,0.0,17.32
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,3,4ERPLCRDA0E3Z5,4,4.23,4.23,4.23,0.0,16.92
Akwaaba,Martin Mawusi,2025-10-31,2025-10-31 15:17:33.379000+00:00,5,4ERPLCREA2DJEM,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,7,4ERKL696G30ZK5,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,6,4ERPLCQEA2DGWX,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,2,4ERPLCQEA2DH08,4,4.12,4.12,4.12,0.0,16.48
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,1,4ERPLCQEA2DHC1,4,4.25,4.25,4.25,0.0,17.0
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,4,4ERPLCRDA0E3WT,4,3.91,3.91,3.91,0.0,15.64
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,3,4ERPLCRDA0E3Z5,4,3.71,3.71,3.71,0.0,14.84
Akwaaba,Martin Mawusi,2025-11-29,2025-11-29 13:33:31.644000+00:00,5,4ERPLCREA2DJEM,4,4.21,4.21,4.21,0.0,16.84
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,7,4ERKL696G30ZK5,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,6,4ERPLCQEA2DGWX,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,2,4ERPLCQEA2DH08,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,1,4ERPLCQEA2DHC1,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,4,4ERPLCRDA0E3WT,4,4.34,4.34,4.34,0.0,17.36
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,3,4ERPLCRDA0E3Z5,4,4.24,4.24,4.24,0.0,16.96
Akwaaba,Martin Mawusi,2026-01-15,2026-01-15 14:44:13.023000+00:00,5,4ERPLCREA2DJEM,4,4.25,4.25,4.25,0.0,17.0
